zone_id,zone_name,zone_type,latitude,longitude,methane_pct,co_ppm,oxygen_pct,dust_mg_m3,temperature_c,humidity_pct,sensor_status,equipment_id,equipment_type,failure_count_30d,maintenance_overdue_days,equipment_status,observations_48h,highest_observation_severity,observation_text,incidents_90d,recent_incident_severity,inspection_overdue_days,inspection_status,worker_count,methane_risk,co_risk,oxygen_risk,dust_risk,gas_risk,equipment_risk,violation_risk,incident_risk,inspection_risk,risk_score,risk_level,reasons
A-01,Panel A-01,Production Panel,22.315,87.305,0.38,13.24,20.85,1.05,24.8,66.34,online,EQ-A-01,Ventilation Pump,1,1,Operational,0,1,Routine safety observation,0,1,0,Current,9,6.7,13.0,0.0,0.0,4.9,30,0,10,0,10.2,Low,['1 equipment failure(s) in 30 days']
A-02,Panel A-02,Production Panel,22.317,87.31,0.337,8.82,20.67,1.18,28.4,65.26,online,EQ-A-02,Ventilation Pump,1,0,Operational,1,1,Routine safety observation,1,2,1,Current,14,0.0,0.0,0.0,0.0,0.0,30,35,50,30,22.5,Low,"['1 equipment failure(s) in 30 days', '1 safety observation(s) in 48 hours', 'Inspection overdue by 1 day(s)']"
B-11,Panel B-11,Production Panel,22.312,87.315,0.332,11.1,20.63,1.4,26.44,67.37,online,EQ-B-11,Ventilation Pump,1,1,Operational,1,2,Routine safety observation,1,2,1,Current,20,0.0,4.4,0.0,0.0,1.1,30,35,50,30,22.9,Low,"['1 equipment failure(s) in 30 days', '1 safety observation(s) in 48 hours', 'Inspection overdue by 1 day(s)']"
B-12,Panel B-12,Production Panel,22.309,87.32,0.602,19.88,20.35,1.8,30.68,57.73,online,EQ-B-12,Ventilation Pump,2,4,Needs attention,2,4,Reduced ventilation and abnormal dust accumulation,1,4,3,Overdue,34,56.0,39.5,35.7,12.0,35.8,60,70,70,90,57.5,Moderate,"['Methane risk elevated: 0.60%', 'CO risk elevated: 19.9 ppm', 'Oxygen level requires attention: 20.35%', '2 equipment failure(s) in 30 days', '2 safety observation(s) in 48 hours', 'Inspection overdue by 3 day(s)']"
H-01,Haul Road H-01,Haul Road,22.32,87.318,0.292,5.81,20.61,1.47,27.47,59.89,online,EQ-H-01,Ventilation Pump,0,0,Operational,1,2,Routine safety observation,0,1,0,Current,7,0.0,0.0,0.0,0.0,0.0,0,35,10,0,8.0,Low,['1 safety observation(s) in 48 hours']
H-02,Haul Road H-02,Haul Road,22.322,87.31,0.223,9.2,20.68,0.94,27.91,65.42,online,EQ-H-02,Ventilation Pump,1,1,Operational,1,2,Routine safety observation,1,2,0,Current,23,0.0,0.0,0.0,0.0,0.0,30,35,50,0,19.5,Low,"['1 equipment failure(s) in 30 days', '1 safety observation(s) in 48 hours']"
W-01,Workshop W-01,Workshop,22.307,87.312,0.283,9.14,20.8,1.39,29.01,63.13,online,EQ-W-01,Ventilation Pump,1,0,Operational,1,1,Routine safety observation,1,0,1,Current,10,0.0,0.0,0.0,0.0,0.0,30,35,30,30,20.5,Low,"['1 equipment failure(s) in 30 days', '1 safety observation(s) in 48 hours', 'Inspection overdue by 1 day(s)']"
V-01,Ventilation V-01,Ventilation Station,22.305,87.318,0.319,7.31,20.92,1.56,28.28,69.81,online,EQ-V-01,Ventilation Pump,1,2,Operational,0,2,Routine safety observation,0,1,1,Current,27,0.0,0.0,0.0,2.4,0.6,30,0,10,30,11.7,Low,"['1 equipment failure(s) in 30 days', 'Inspection overdue by 1 day(s)']"
C-01,Crusher C-01,Crusher Area,22.325,87.322,0.307,7.21,20.75,0.77,28.39,69.23,online,EQ-C-01,Ventilation Pump,0,1,Operational,0,2,Routine safety observation,0,1,1,Current,23,0.0,0.0,0.0,0.0,0.0,0,0,10,30,4.0,Low,['Inspection overdue by 1 day(s)']
S-01,Storage S-01,Storage Area,22.328,87.308,0.309,7.85,20.75,0.56,26.13,70.6,online,EQ-S-01,Ventilation Pump,0,2,Operational,1,2,Routine safety observation,0,0,0,Current,11,0.0,0.0,0.0,0.0,0.0,0,35,0,0,7.0,Low,['1 safety observation(s) in 48 hours']
